,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_id,product_dpr,product_interest_min,applied_limit,amount_to_pay
467,800,15,5,0,0,14000,2,8000,2,1.8,50,800,0.0
468,1600,7,5,1,0,85000,1,60000,31,1.8,50,3500,0.0
469,1000,8,4,0,0,10000,1,3500,35,1.53,50,7300,0.0
470,1500,30,5,0,0,4500,1,1800,32,1.8,50,8000,0.0
471,2500,30,3,0,0,6900,1,1000,31,1.8,50,2500,0.0
472,1400,12,4,0,0,3500,1,1700,62,0.0,250,1400,0.0
473,500,30,2,1,0,15000,2,4000,32,1.8,50,8000,0.0
474,8000,21,5,0,0,9000,2,6000,2,1.8,50,8000,12320.0
475,8000,30,5,0,0,5000,2,1500,32,1.8,50,8000,0.0
476,8000,3,4,0,1,15000,1,4000,32,1.8,50,8000,0.0
477,4000,30,5,0,0,12000,2,3000,10,1.9,50,4000,0.0
478,3000,30,5,0,0,15000,2,1000,35,1.53,50,3000,4381.1
479,1000,24,3,0,0,10000,1,6000,10,1.9,50,1000,0.0
480,1000,19,3,0,0,7500,2,2300,10,1.9,50,2500,0.0
481,1500,30,4,0,0,6000,2,3500,31,1.8,50,1500,0.0
482,2500,14,5,0,0,7500,1,2500,10,1.9,50,2500,3877.5
483,3000,30,5,0,0,8000,2,3000,52,1.62,50,3000,0.0
484,1500,30,3,0,0,8000,2,3000,30,1.8,50,1500,2333.0
485,4000,8,3,0,1,5000,2,3000,31,1.8,50,5500,4504.0
486,1500,30,2,0,0,7000,2,1000,31,1.8,50,1500,0.0
487,500,20,3,0,0,12000,1,12000,2,1.8,50,500,0.0
488,1500,30,3,0,0,15000,2,3000,31,1.8,50,1500,2333.0
489,3000,7,6,1,0,10000,2,8000,35,1.53,50,8000,0.0
490,4500,30,2,0,0,12000,2,1500,32,1.8,50,4500,0.0
491,1000,30,3,0,0,10000,1,3000,10,1.9,50,2000,0.0
492,1000,8,4,1,0,6500,2,4500,10,1.9,50,3000,0.0
493,2000,20,5,0,1,11800,2,3600,31,1.8,50,3500,0.0
494,1000,15,5,0,0,12000,2,6000,10,1.9,50,1000,0.0
495,500,3,2,0,0,15000,999,5000,10,1.9,50,1500,0.0
496,2500,30,3,0,0,8000,2,2500,36,1.43,50,2500,0.0
497,1050,14,4,0,0,15000,1,3500,31,1.8,50,3500,1345.7
498,1300,4,3,0,0,12000,2,10000,32,1.8,50,5000,0.0
