,loan_amount,loan_days,education_id,has_immovables,has_movables,monthly_income,income_frequency_id,monthly_expenses,product_dpr,product_interest_min,Score,Zscore,Give_credit
380,900,20,3,0,0,3500,2,1500,1.71,50,16.297565336219378,-0.08209149777200125,0.0
381,1150,30,5,1,0,16800,1,5000,1.8,50,116.55707346644698,-0.07141261312647706,1.0
382,2000,30,3,0,0,11000,1,3000,1.9,50,118.76752819176279,-0.07117717220455332,1.0
383,500,14,3,0,0,8200,2,3000,1.9,50,18.433171294528748,-0.08186402917473407,0.0
384,1000,15,5,0,0,15000,2,5000,1.43,50,13.577092305549911,-0.08238126198706247,0.0
385,3500,20,5,0,0,19800,2,8000,1.9,50,20.30796244187816,-0.08166434059885366,0.0
386,3500,30,3,0,0,7500,2,3000,1.8,50,117.1286689204091,-0.07135173110111505,1.0
387,1000,16,2,0,0,6000,2,1500,1.9,50,18.731932347529295,-0.08183220740659389,0.0
388,1000,14,4,0,0,11200,1,1200,1.9,50,18.4771377680854,-0.08185934619844445,0.0
389,1000,3,5,0,0,4500,2,1000,1.9,50,18.1307883083227,-0.0818962367238103,0.0
390,1500,30,2,0,0,15000,1,12000,1.8,50,116.77904918329337,-0.07138896995169476,1.0
391,2000,30,3,0,0,21000,1,16000,1.8,50,116.99524713118322,-0.07136594218117034,1.0
392,1800,26,4,0,0,3500,1,3500,1.53,50,19.255663522620335,-0.08177642352226845,0.0
393,3000,30,3,0,0,8000,2,2000,1.8,50,116.93275151494302,-0.07137259874162158,1.0
394,1000,30,2,0,0,8000,2,3000,1.33,50,113.11763888058704,-0.07177895568962346,1.0
395,1000,15,5,0,0,14000,2,3500,1.53,50,14.03264990203144,-0.08233273943680319,0.0
396,2500,17,4,0,1,10000,2,3000,1.8,50,17.142877753006776,-0.08200146148560158,0.0
397,1000,30,4,0,0,9000,2,7564,1.8,50,116.58539057622166,-0.0714095970020773,1.0
398,1500,29,5,0,0,15000,2,4000,1.8,50,38.14058210887206,-0.07976494480185874,0.0
399,3000,30,2,0,0,3000,2,1000,1.8,50,116.91521791337405,-0.07137446628827193,1.0
400,1500,16,4,0,0,10000,2,5000,1.8,50,16.80182603291487,-0.08203778773579912,0.0
401,5000,5,5,1,1,16000,2,10000,1.53,50,15.105647165513165,-0.08221845188228218,0.0
402,550,30,4,0,0,4500,2,2000,1.8,50,116.40659031385417,-0.07142864145394048,1.0
403,4000,15,5,0,0,10200,2,7000,1.8,50,17.478384968884907,-0.08196572579406548,0.0
404,3000,30,5,0,0,8000,1,4000,1.8,50,116.96969730818519,-0.0713686635551088,1.0
405,1500,30,2,0,0,10000,2,5000,1.43,50,113.61693834096158,-0.07172577408679745,1.0
406,3500,30,5,0,0,15000,2,8000,1.9,50,119.3131685887718,-0.0711190547155863,1.0
407,1000,30,2,0,0,2000,1,10000,1.53,50,114.12263799786044,-0.07167191078343584,1.0
408,1000,3,4,0,1,8000,2,6500,1.9,50,18.23533441051172,-0.08188510126358077,0.0
409,1800,30,3,0,0,10000,2,5000,1.8,50,116.67951073150674,-0.07139957203487118,1.0
410,1500,30,3,0,0,9500,1,4000,1.43,50,113.59745783729358,-0.07172784900273697,1.0
